identifiant,module,categorie,niveau,type,enonce
BUR-MIC-0030,BUR,Microsoft Excel,facile,qcm,Quelle fonction Excel trouve la valeur la plus élevée dans une plage de cellules ?
BUR-MIC-0031,BUR,Microsoft Excel,intermediaire,qcm,À quoi sert la mise en forme conditionnelle dans Excel ?
BUR-MIC-0032,BUR,Microsoft Excel,avance,qcm,Quelle fonction combine du texte de plusieurs cellules en une seule (ex: prénom + nom) ?
BUR-MIC-0033,BUR,Microsoft Excel,professionnel,analyse_excel,Une formule RECHERCHEV renvoie systématiquement #N/A alors que la valeur cherchée semble présente dans le tableau. Quelle cause technique fréquente devez-vous vérifier en premier ?
BUR-MIC-0034,BUR,Microsoft PowerPoint,intermediaire,qcm,Comment ajouter des notes du présentateur visibles uniquement par lui pendant la présentation ?
BUR-MIC-0035,BUR,Microsoft PowerPoint,facile,qcm,Quel raccourci permet de lancer un diaporama depuis la diapositive courante ?
BUR-MIC-0036,BUR,Microsoft PowerPoint,avance,qcm,Quel outil permet de créer un sommaire automatique des diapositives dans PowerPoint ?
BUR-GES-0007,BUR,Gestion des fichiers,intermediaire,qcm,"Quel est le principal avantage d'utiliser un service de stockage cloud (Google Drive, OneDrive) par rapport à un disque dur externe ?"
BUR-GES-0008,BUR,Gestion des fichiers,professionnel,qcm,Quelle pratique permet de retrouver un fichier perdu dans un dossier contenant des centaines de documents ?
BUR-PRO-0004,BUR,Productivité,intermediaire,qcm,Quel est l'avantage d'organiser ses fichiers par projet plutôt que par type (ex: tous les PDF ensemble) ?
INT-NAV-0021,INT,Navigation Web,facile,qcm,Quel bouton du navigateur permet de revenir à la page précédemment consultée ?
INT-NAV-0019,INT,Navigation Web,intermediaire,qcm,Que permet un moteur de recherche interne à un site (barre de recherche du site) que Google ne fait pas toujours bien ?
INT-NAV-0020,INT,Navigation Web,professionnel,qcm,Quelle est la différence fondamentale entre le web « surface » et le « deep web » ?
INT-REC-0013,INT,Recherche avancée,facile,vrai_faux,Le premier résultat d'une recherche Google est toujours la source la plus fiable.
INT-OPE-0007,INT,Opérateurs de recherche,intermediaire,qcm,Quel opérateur permet de trouver des pages similaires à un site donné ?
INT-SEC-0021,INT,Sécurité numérique,intermediaire,qcm,Pourquoi éviter de se connecter à des services sensibles (banque) via un Wi-Fi public non sécurisé ?
INT-SEC-0022,INT,Sécurité numérique,avance,qcm,Que désigne le terme « ingénierie sociale » en cybersécurité ?
INT-SEC-0023,INT,Sécurité numérique,professionnel,etude_cas,"Un employé reçoit un appel d'une personne se faisant passer pour son « nouveau responsable IT », demandant son mot de passe pour « une maintenance urgente ». Quelle règle de sécurité fondamentale s'applique ici ?"
INT-GOO-0016,INT,Google Workspace,intermediaire,qcm,Quelle application Google Workspace permet de prendre des notes rapides et de créer des rappels ?
INT-ORG-0009,INT,Organisation des fichiers,facile,qcm,Que se passe-t-il généralement quand on déplace un fichier vers la corbeille sans la vider ?
INT-COL-0011,INT,Collaboration,professionnel,qcm,Pourquoi documenter les décisions prises lors d'une réunion (compte-rendu) est-il important en contexte professionnel ?
INT-PRO-0012,INT,Productivité,facile,qcm,"Que signifie l'acronyme « GTD », une méthode populaire de gestion des tâches ?"
INT-REC-0014,INT,Recherche avancée,professionnel,scenario_pro,"Vous devez identifier la source originale d'une citation virale circulant sur les réseaux sociaux, potentiellement mal attribuée. Quelle démarche de vérification suivre ?"
INT-GOO-0017,INT,Google Workspace,professionnel,qcm,Comment restreindre le partage d'un document Google Drive pour qu'il ne soit accessible qu'aux personnes du domaine de l'entreprise (ex: @blessytechacademy.com) ?
INT-SEC-0024,INT,Sécurité numérique,facile,qcm,Pourquoi ne pas se déconnecter d'un compte utilisé sur un ordinateur public (cybercafé) est-il risqué ?
INT-PRO-0013,INT,Productivité,avance,qcm,Quel est l'intérêt de créer des filtres/règles automatiques dans une boîte email professionnelle ?
INT-COL-0012,INT,Collaboration,facile,qcm,Quel est l'avantage de partager un lien de fichier plutôt que d'envoyer le fichier en pièce jointe par email ?
IA-FON-0015,IA,Fondamentaux,intermediaire,qcm,Quelle affirmation décrit correctement les « données d'entraînement » d'une IA ?
IA-IA--0011,IA,IA générative,intermediaire,qcm,Pourquoi certaines IA génératives ont-elles une « date de connaissance limite » (knowledge cutoff) ?
IA-PRO-0013,IA,Prompt Engineering,facile,vrai_faux,Reformuler un prompt après une réponse insatisfaisante est une pratique normale et recommandée.
IA-PRO-0014,IA,Prompt Engineering,avance,qcm,Que désigne la technique du « zero-shot prompting » ?
IA-ETH-0011,IA,Éthique,facile,qcm,Pourquoi est-il important de savoir qu'une image ou vidéo peut être un « deepfake » généré par IA ?
IA-ETH-0012,IA,Éthique,professionnel,etude_cas,Une entreprise envisage de remplacer 5 postes administratifs par un système d'automatisation IA. Quelle démarche est éthiquement recommandée envers les employés concernés ?
IA-VER-0011,IA,Vérification des réponses,facile,qcm,Quelle est la meilleure attitude générale à adopter face à une réponse d'IA sur un sujet que vous ne maîtrisez pas ?
IA-CAS-0011,IA,Cas professionnels,avance,qcm,"Comment l'IA peut-elle contribuer à améliorer l'accessibilité numérique (personnes malvoyantes, etc.) ?"
IA-AUT-0009,IA,Automatisation,professionnel,qcm,Quel principe de gouvernance est recommandé avant de déployer une automatisation IA affectant directement les clients (ex: chatbot de réclamation) ?
IA-FON-0016,IA,Fondamentaux,avance,qcm,Quelle affirmation est correcte concernant les limites actuelles de l'IA générative ?
IA-IA--0012,IA,IA générative,facile,qcm,Quel usage NE relève PAS d'une IA générative de texte ?
IA-VER-0012,IA,Vérification des réponses,avance,scenario_pro,Un collègue partage un article prétendument généré et vérifié par IA affirmant un fait surprenant sur l'économie haïtienne. Quelle question devriez-vous vous poser en priorité avant de le croire ?
BUR-MIC-0046,BUR,Microsoft Word,facile,qcm,Quel raccourci permet de sélectionner un mot entier en double-cliquant dessus ?
BUR-MIC-0047,BUR,Microsoft Word,avance,qcm,Quelle fonctionnalité Word permet de créer automatiquement une liste de références bibliographiques ?
BUR-MIC-0048,BUR,Microsoft Excel,facile,qcm,Quel symbole permet de figer une référence de colonne dans une formule Excel (ex: $A1) ?
BUR-MIC-0049,BUR,Microsoft Excel,intermediaire,qcm,Quelle fonction Excel additionne uniquement les cellules répondant à une condition (ex: total des ventes > 1000) ?
BUR-MIC-0050,BUR,Microsoft Excel,professionnel,analyse_excel,Un fichier Excel de 5000 lignes devient très lent à ouvrir et calculer. Quelle cause fréquente et solution recommandez-vous en priorité ?
BUR-MIC-0051,BUR,Microsoft PowerPoint,avance,qcm,Pourquoi limiter l'usage des transitions et animations complexes dans une présentation professionnelle ?
BUR-GES-0011,BUR,Gestion des fichiers,facile,qcm,Quel type de fichier est généralement associé à une présentation PowerPoint ?
BUR-RAC-0005,BUR,Raccourcis clavier,intermediaire,qcm,Quel raccourci permet de dupliquer rapidement une diapositive dans PowerPoint ?
